Trigger level set at [mV], -0.030
C1_t[ns],C1_V[mV],C2_t[ns],C2_V[mV],C3_t[ns],C3_V[mV],C4_t[ns],C4_V[mV]
 52.734,   -6.3, 52.734,   -7.4, 52.734,   -8.0, 52.734,   -8.4
 52.930,   -5.6, 52.930,   -6.5, 52.930,  -10.3, 52.930,  -10.1
 53.125,   -7.3, 53.125,   -6.6, 53.125,   -7.7, 53.125,   -8.6
 53.320,   -3.2, 53.320,   -4.3, 53.320,   -7.9, 53.320,   -7.7
 53.516,   -4.1, 53.516,   -3.1, 53.516,   -6.0, 53.516,   -6.0
 53.711,   -0.3, 53.711,   -3.1, 53.711,   -5.3, 53.711,   -5.6
 53.906,   -2.4, 53.906,   -3.7, 53.906,   -3.5, 53.906,   -4.0
 54.102,   -2.2, 54.102,   -4.6, 54.102,   -7.0, 54.102,   -7.7
 54.297,   -4.9, 54.297,   -5.8, 54.297,   -5.8, 54.297,   -7.0
 54.492,   -3.8, 54.492,   -6.2, 54.492,   -9.0, 54.492,  -10.2
 54.688,   -5.3, 54.688,   -5.0, 54.688,   -7.4, 54.688,   -8.9
 54.883,   -3.3, 54.883,   -5.4, 54.883,   -9.7, 54.883,  -10.7
 55.078,   -4.8, 55.078,   -6.3, 55.078,   -8.7, 55.078,   -9.1
 55.273,   -5.0, 55.273,   -7.7, 55.273,  -10.0, 55.273,  -11.3
 55.469,   -6.6, 55.469,   -8.5, 55.469,   -8.1, 55.469,   -7.8
 55.664,   -5.3, 55.664,   -7.2, 55.664,   -7.6, 55.664,   -8.7
 55.859,   -6.6, 55.859,   -7.2, 55.859,   -7.2, 55.859,   -6.6
 56.055,   -5.5, 56.055,   -8.0, 56.055,   -8.7, 56.055,   -9.5
 56.250,   -5.9, 56.250,   -6.8, 56.250,   -7.1, 56.250,   -7.5
 56.445,   -4.4, 56.445,   -6.3, 56.445,   -6.0, 56.445,   -7.2
 56.641,   -5.1, 56.641,   -5.5, 56.641,   -3.7, 56.641,   -3.1
 56.836,   -3.2, 56.836,   -4.1, 56.836,   -5.7, 56.836,   -5.4
 57.031,   -3.0, 57.031,   -2.6, 57.031,   -3.6, 57.031,   -3.5
 57.227,   -0.9, 57.227,   -3.3, 57.227,   -6.8, 57.227,   -6.8
 57.422,   -1.9, 57.422,   -3.1, 57.422,   -5.6, 57.422,   -5.7
 57.617,   -1.3, 57.617,   -5.3, 57.617,   -7.0, 57.617,   -5.8
 57.812,   -2.8, 57.812,   -3.6, 57.812,   -2.8, 57.812,   -4.1
 58.008,   -1.2, 58.008,   -3.5, 58.008,   -5.6, 58.008,   -7.1
 58.203,   -3.5, 58.203,   -4.0, 58.203,   -5.4, 58.203,   -6.5
 58.398,   -2.4, 58.398,   -4.5, 58.398,   -6.5, 58.398,   -8.4
 58.594,   -4.4, 58.594,   -4.0, 58.594,   -4.7, 58.594,   -5.4
 58.789,   -3.8, 58.789,   -6.0, 58.789,   -8.8, 58.789,   -9.6
 58.984,   -5.4, 58.984,   -7.4, 58.984,   -8.6, 58.984,   -9.4
 59.180,   -4.7, 59.180,   -6.7, 59.180,  -10.5, 59.180,  -12.1
 59.375,   -6.2, 59.375,   -7.6, 59.375,   -8.8, 59.375,   -8.6
 59.570,   -4.2, 59.570,   -6.6, 59.570,   -8.6, 59.570,   -9.2
 59.766,   -5.5, 59.766,   -7.1, 59.766,   -5.5, 59.766,   -6.1
 59.961,   -3.6, 59.961,   -6.5, 59.961,   -5.0, 59.961,   -7.0
 60.156,   -4.5, 60.156,   -4.8, 60.156,   -3.5, 60.156,   -5.2
 60.352,   -1.2, 60.352,   -3.9, 60.352,   -5.4, 60.352,   -6.4
 60.547,   -3.1, 60.547,   -2.1, 60.547,   -3.9, 60.547,   -4.5
